medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
050367,N,2,384,4.83,0.47,10.31,1482.83,60,10.08,1.36,7.41,126518,14.91,1.83,2.03,7.7673124864,12.242685779,8.15,14.57,1.66,0.35,0.17
050380,N,2,1194,5.37,1.69,3.18,445.62,321,8.97,3.91,2.29,28447,14.34,5.6,1.42,2.4960686209,3.5958185372,2.56,12.88,4.57,1.46,1.03
050382,N,2,325,0.48,0.29,1.63,179.53,35,0.72,0.36,2.02,18924,1.2,0.65,1.27,2.1210169205,1.6965176514,1.85,1.08,0.55,0.12,0.09
050385,N,NA,18,0.04,0.01,4.7,620.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0929304219,NA,NA,NA,NA,NA
050390,N,1,42,0.09,0.04,2.25,238.09,19,0.16,0.12,1.3,11027,0.25,0.16,2.39,1.2332903221,2.2468873893,1.53,0.22,0.15,0.03,0.01
050393,N,3,307,0.44,0.15,2.87,336.18,19,0.32,0.18,1.77,17083,0.76,0.33,1.76,1.8940676546,3.0765096375,2.27,0.64,0.27,0.11,0.06
050394,N,2,1001,3.35,1.56,2.15,242.35,76,1.74,0.89,1.95,20128,5.09,2.45,1.28,2.1706606599,2.3074459892,2.08,4.52,2,0.58,0.45
050396,N,5,1657,15.43,4.06,3.8,452.07,528,30.34,8.19,3.7,48550,45.77,12.26,1.39,3.9699894459,4.3537588343,3.73,43.54,10.65,2.23,1.61
050397,N,NA,4772,10.51,4.88,2.15,265.76,233,4.1,2.9,1.41,19921,14.6,7.78,1.46,1.4540648009,2.2589043573,1.88,12.98,6.67,1.63,1.11
050414,N,3,654,4.69,1,4.69,576.17,64,3.16,0.83,3.8,43649,7.85,1.83,1.83,4.0641386611,5.3372556843,4.29,7.35,1.56,0.5,0.27
050417,N,3,2187,8.14,1.6,5.08,605.49,149,4.28,1.31,3.27,33381,12.42,2.91,2.29,3.5070023087,5.7727891918,4.27,11.24,2.4,1.18,0.51
050423,N,2,201,0.62,0.11,5.62,725.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7362844103,NA,NA,NA,NA,NA
050424,N,5,1992,3.51,2.1,1.67,191.25,124,5.95,2.06,2.89,31245,9.45,4.15,1.49,3.2125193572,1.6629531917,2.28,8.26,3.36,1.19,0.8
050425,N,2,32,0.14,0.05,2.87,641.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8573392576,NA,NA,NA,NA,NA
050426,N,3,25,0.05,0.02,2.13,239.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9808293035,NA,NA,NA,NA,NA
050438,N,4,851,2.02,1.33,1.52,165.8,385,9.67,4.83,2,20932,11.69,6.16,0.8,2.3097495858,1.6215211605,1.9,10.74,4.97,0.96,1.2
050441,N,4,9808,66.47,14.43,4.61,640.41,634,47.65,17.09,2.79,42964,114.12,31.51,2.71,2.8592802977,4.9167190664,3.62,102.86,27.37,11.25,4.14
050444,N,1,2648,14.68,3.11,4.72,535.15,410,15.77,4.09,3.86,41534,30.45,7.2,1.66,4.3327163018,5.4451942592,4.23,28.32,5.91,2.13,1.29
050454,N,4,5729,25.71,8.27,3.11,415.52,796,43.81,21.74,2.01,37188,69.51,30.02,3.02,1.9710740899,3.011475297,2.32,60.72,27.11,8.79,2.91
050455,N,2,15553,18.07,10.12,1.79,193.51,601,16.42,7.8,2.11,20453,34.49,17.92,1.29,2.3279863586,1.8482883906,1.93,30.38,14.74,4.1,3.18
050457,N,2,214,0.87,0.35,2.49,353.67,24,1,0.5,2.02,25869,1.87,0.84,1.14,2.1199829544,2.8564414523,2.21,1.72,0.72,0.14,0.13
050464,N,1,772,2.96,1.65,1.8,194.36,200,8.59,2.73,3.15,33043,11.56,4.38,1.3,3.3106632957,1.8881126983,2.64,10.92,3.89,0.64,0.49
