medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
310081,N,2,3624,8.05,2.9,2.77,297.81,308,8.36,2.59,3.22,29642,16.41,5.5,1.38,3.6982234334,3.2247874013,2.99,14.69,4.25,1.72,1.25
310083,N,1,119,0.17,0.09,1.89,191.02,20,0.19,0.18,1.1,10982,0.37,0.27,1.59,1.0493985184,1.8882849682,1.37,0.3,0.23,0.07,0.04
310084,N,3,1567,2.85,1.11,2.58,312.62,161,2.27,1.52,1.49,13793,5.12,2.62,1.3,1.5245232748,3.0457463629,1.95,4.51,2.16,0.6,0.46
310086,N,2,11009,22.95,8.65,2.65,292.58,1065,13.77,12.34,1.12,10912,36.72,20.99,1.28,1.0951702736,3.1614479679,1.75,31.59,16.97,5.13,4.02
310091,N,2,1078,1.55,0.6,2.59,288.69,44,0.4,0.4,1,8478,1.96,1,1.07,1.0038666386,3.1597042019,1.96,1.71,0.77,0.25,0.23
310092,N,2,5024,6.63,2.75,2.41,292.28,462,9.05,6.16,1.47,16107,15.68,8.91,1.57,1.4228196262,2.8061476393,1.76,12.96,7.17,2.72,1.74
310096,N,5,851,1.16,0.79,1.46,158.02,71,1.19,0.98,1.22,14206,2.35,1.78,1.1,1.2360453391,1.5544594133,1.33,2.04,1.49,0.31,0.28
310108,N,2,11601,26,10.14,2.56,292,906,17.1,10.9,1.57,16791,43.1,21.04,1.2,1.6687788304,2.9486527825,2.05,37.68,16.52,5.42,4.52
310110,N,3,10599,25.19,9.81,2.57,268.55,916,13.59,8.96,1.52,12809,38.78,18.77,1.49,1.559430224,2.8525353869,2.07,32.78,14.74,6,4.03
310111,N,3,7792,12.75,5.26,2.42,294.58,683,7.7,5.95,1.29,12439,20.45,11.21,1.21,1.2928486983,2.9142698669,1.82,17.29,8.6,3.16,2.62
310112,N,2,3806,6.5,2.4,2.71,321.58,163,2.93,1.66,1.77,15658,9.42,4.05,1.44,1.7948595796,3.1998924213,2.32,8.09,3.13,1.33,0.92
310113,N,4,6607,14.66,4.8,3.05,349.4,596,9.62,5.85,1.64,14868,24.28,10.65,2.31,1.5950904005,3.148585711,2.28,19.11,8.41,5.16,2.24
310115,N,2,3994,7.91,2.86,2.77,297.34,132,1.5,1.06,1.42,11562,9.42,3.92,1.6,1.3723024757,3.1630230187,2.41,7.95,3,1.47,0.92
310118,N,2,657,0.82,0.45,1.81,201.1,91,1.54,1.25,1.23,14550,2.36,1.71,2,1.0846838382,1.8351297351,1.38,1.82,1.44,0.54,0.27
310119,N,1,7939,8.94,5.78,1.55,166.4,467,9.39,9.28,1.01,15803,18.32,15.06,1.54,0.9239602183,1.6114763277,1.22,15.35,13.12,2.97,1.93
310130,N,2,4508,8.15,2.72,2.99,356.38,434,10.58,3.69,2.86,28086,18.74,6.42,2.09,3.0275241039,3.4372053708,2.92,15.34,4.79,3.4,1.63
320001,N,1,386,0.79,0.28,2.83,276.47,55,1.3,0.9,1.45,16324,2.09,1.18,1.92,1.4297618238,3.0871051611,1.78,1.89,1.07,0.2,0.1
320002,N,4,223,0.8,0.2,3.99,436.81,13,0.41,0.15,2.83,33747,1.21,0.35,2.09,2.8700101127,4.6166727857,3.5,1.08,0.29,0.13,0.06
320003,N,2,42,0.19,0.02,8.88,917.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.211782408,NA,NA,NA,NA,NA
320004,N,3,34,0.13,0.02,5.42,533.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4681901138,NA,NA,NA,NA,NA
320006,N,2,13,0.03,0.01,3.54,307.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.133275028,NA,NA,NA,NA,NA
320009,N,4,107,0.57,0.24,2.37,214.13,20,0.68,0.24,2.87,19944,1.26,0.48,1.43,3.1647081063,2.5679351073,2.62,1.13,0.4,0.12,0.08
320011,N,4,36,0.08,0.02,5.1,553.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4468471628,NA,NA,NA,NA,NA
320016,N,3,19,0.05,0.02,3.37,291.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7755284218,NA,NA,NA,NA,NA
320017,N,2,103,0.32,0.14,2.25,208.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4561283082,NA,NA,NA,NA,NA
320018,N,2,57,0.22,0.03,6.65,627.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1723797646,NA,NA,NA,NA,NA
320021,N,2,203,0.72,0.24,2.97,258.7,26,0.7,0.3,2.33,18158,1.42,0.54,1.91,2.380384116,3.2262633526,2.62,1.26,0.46,0.16,0.08
320022,N,3,85,0.19,0.05,3.95,365.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7515887327,NA,NA,NA,NA,NA
320033,N,3,48,0.15,0.03,6.07,665.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5125907007,NA,NA,NA,NA,NA
320038,N,2,31,0.11,0.02,6.04,589.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4748101633,NA,NA,NA,NA,NA
320059,N,3,367,0.21,0.1,2.02,278.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1675468962,NA,NA,NA,NA,NA
320063,N,2,35,0.16,0.04,4.55,440.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5003676167,NA,NA,NA,NA,NA
320065,N,2,25,0.11,0.02,5.39,512.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4223595983,NA,NA,NA,NA,NA
320074,N,4,58,0.13,0.05,2.31,206.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.382307025,NA,NA,NA,NA,NA
320084,N,3,25,0.03,0.01,3.4,324.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0545110846,NA,NA,NA,NA,NA
320085,N,1,122,0.24,0.06,4.1,421.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2456487553,NA,NA,NA,NA,NA
320086,N,3,20,0.04,0.02,2.66,220.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5902379736,NA,NA,NA,NA,NA
320089,N,3,72,0.15,0.06,2.46,219.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6985371257,NA,NA,NA,NA,NA
321301,Y,NA,28,0.05,0.02,2.34,404.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3850734872,NA,NA,NA,NA,NA
321306,Y,4,15,0.02,0.01,1.8,358.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7910122003,NA,NA,NA,NA,NA
321307,Y,3,69,0.14,0.09,1.63,280.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6413333163,NA,NA,NA,NA,NA
321310,Y,3,60,0.1,0.05,2.04,348.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1561400311,NA,NA,NA,NA,NA
330003,N,4,57,0.1,0.04,2.5,222.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6906735136,NA,NA,NA,NA,NA
330004,N,1,50,0.2,0.04,5.16,534.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.443467179,NA,NA,NA,NA,NA
330005,N,1,201,0.43,0.35,1.21,104.4,37,1.96,1.01,1.93,37187,2.39,1.37,1.41,1.9899708406,1.1325504681,1.75,2.22,1.25,0.17,0.12
330006,N,1,12,0.01,0.01,1.07,131.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0538947066,NA,NA,NA,NA,NA
330009,N,2,30,0.02,0.02,1.14,133.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1710705605,NA,NA,NA,NA,NA
330011,N,3,105,0.21,0.07,3.11,289.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7871348972,NA,NA,NA,NA,NA
330013,N,1,137,0.33,0.16,2.07,165.9,55,1.72,0.73,2.34,26844,2.04,0.89,1.34,2.4516641509,2.2559059036,2.3,1.9,0.79,0.14,0.1
330014,N,1,52,0.06,0.03,2.28,267.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5328622329,NA,NA,NA,NA,NA
330023,N,1,234,0.44,0.16,2.7,309.86,29,1,0.29,3.45,29386,1.44,0.45,1.67,3.7524111805,3.0436547638,3.18,1.3,0.37,0.14,0.08
330024,N,3,1407,6.72,2.83,2.37,249.46,450,30.88,11.42,2.7,38133,37.6,14.25,2.27,2.7255273444,2.5395530484,2.64,33.58,12.48,4.01,1.77
330027,N,1,19,0.03,0.02,1.48,184.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.543351799,NA,NA,NA,NA,NA
330028,N,1,103,0.24,0.14,1.68,183.01,19,0.31,0.23,1.38,18401,0.55,0.37,1.37,1.3772734967,1.7528695182,1.49,0.47,0.31,0.08,0.06
330030,N,2,282,0.36,0.18,2.04,180.69,16,0.31,0.16,1.88,12557,0.67,0.34,1.13,2.0315601374,2.2789050907,1.96,0.6,0.28,0.07,0.06
330033,N,3,84,0.17,0.04,4.56,444.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5223984475,NA,NA,NA,NA,NA
330043,N,2,29,0.1,0.04,2.68,270.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6932279733,NA,NA,NA,NA,NA
330044,N,2,44,0.07,0.03,2.94,267.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3303065583,NA,NA,NA,NA,NA
330045,N,3,41,0.11,0.03,3.4,414.83,11,0.25,0.09,2.67,24030,0.36,0.13,2.83,2.5827933746,3.764589658,2.86,0.29,0.1,0.07,0.02
330046,N,3,358,1.09,0.57,1.9,206.98,95,3.62,1.65,2.2,30517,4.71,2.22,1.99,2.2083996071,1.9441966106,2.12,4.14,1.93,0.57,0.29
330047,N,2,37,0.05,0.03,2.18,210.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4695155795,NA,NA,NA,NA,NA
330049,N,4,69,0.15,0.07,2.18,229.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2755656728,NA,NA,NA,NA,NA
330055,N,2,62,0.27,0.13,2.12,244.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3029709381,NA,NA,NA,NA,NA
330056,N,1,53,0.07,0.03,2.76,355.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5937843598,NA,NA,NA,NA,NA
330057,N,2,77,0.18,0.07,2.51,227.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7906982276,NA,NA,NA,NA,NA
330058,N,1,112,0.12,0.08,1.53,137.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5610813439,NA,NA,NA,NA,NA
330059,N,1,388,1.36,0.47,2.88,325.61,67,5.36,1.79,3,41692,6.72,2.26,2.66,3.0140667998,2.9611946001,2.97,6.17,2.05,0.55,0.21
330061,N,NA,128,0.34,0.14,2.42,275.77,15,0.43,0.15,2.94,25553,0.77,0.29,1.52,3.1142508211,2.7076348044,2.69,0.69,0.24,0.07,0.05
330065,N,1,14,0.01,0.01,1.6,179.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9624210153,NA,NA,NA,NA,NA
330074,N,2,162,0.25,0.13,1.91,177.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1421047427,NA,NA,NA,NA,NA
330078,N,2,38,0.05,0.03,1.63,164.49,12,0.29,0.13,2.27,23086,0.35,0.16,1.06,2.809743803,1.6575426115,2.14,0.3,0.12,0.05,0.05
330079,N,4,180,0.24,0.09,2.72,279.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0742985394,NA,NA,NA,NA,NA
330085,N,3,87,0.1,0.04,2.47,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8883639267,NA,NA,NA,NA,NA
330086,N,1,12,0.02,0.01,2.33,253.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4640265945,NA,NA,NA,NA,NA
330088,N,3,36,0.08,0.02,3.28,394.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4605798462,NA,NA,NA,NA,NA
330090,N,2,48,0.09,0.03,2.85,253.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2762663449,NA,NA,NA,NA,NA
330094,N,2,60,0.09,0.05,2.01,194.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2444496162,NA,NA,NA,NA,NA
330100,N,NA,232,1.07,0.96,1.12,116.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1176109015,NA,NA,NA,NA,NA
330101,N,3,5203,27.6,8.94,3.09,341.1,1119,101.77,26.04,3.91,53974,129.37,34.98,2.83,4.04699956,3.1760184348,3.7,115.87,30.21,13.5,4.78
330102,N,4,27,0.04,0.02,1.61,188.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8466985912,NA,NA,NA,NA,NA
330103,N,3,64,0.08,0.06,1.49,125.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4848887498,NA,NA,NA,NA,NA
330104,N,2,396,0.87,0.36,2.4,286.62,28,0.59,0.23,2.56,24721,1.46,0.59,1.32,2.7990857662,2.8050258421,2.46,1.28,0.46,0.18,0.13
330106,N,2,308,0.81,0.26,3.07,360.99,34,1.08,0.47,2.27,32255,1.89,0.74,2.04,2.2371554194,3.548545295,2.56,1.65,0.62,0.24,0.12
330107,N,1,40,0.1,0.03,3.32,432.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7634982249,NA,NA,NA,NA,NA
330111,N,2,18,0.01,0.01,1.34,124.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3757499911,NA,NA,NA,NA,NA
330115,N,3,443,0.64,0.28,2.32,212.35,17,0.15,0.12,1.32,10359,0.79,0.39,1.41,1.3501421156,2.5282947623,2.02,0.68,0.31,0.11,0.08
330119,N,3,899,4.14,1.89,2.19,231.92,182,8.08,2.65,3.05,34296,12.22,4.54,2.63,3.0175207197,2.2068636448,2.69,10.55,3.91,1.66,0.63
330125,N,2,189,0.47,0.24,1.92,170.19,21,0.53,0.3,1.77,16318,0.99,0.54,0.95,2.1284425027,2.142501657,1.84,0.87,0.41,0.13,0.13
330126,N,3,410,0.94,0.46,2.05,230.87,52,1.43,0.45,3.16,31863,2.37,0.91,1.47,3.4996748867,2.2111232935,2.6,2.11,0.74,0.25,0.17
330132,N,NA,15,0.01,0.01,1.1,94.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0820641951,NA,NA,NA,NA,NA
330135,N,4,187,0.52,0.14,3.8,434.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4375493677,NA,NA,NA,NA,NA
330136,N,1,204,0.52,0.14,3.57,431.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0773515393,NA,NA,NA,NA,NA
330140,N,2,96,0.27,0.15,1.79,172.87,21,0.55,0.22,2.46,19414,0.81,0.37,1.16,2.7069311645,1.9872928759,2.19,0.73,0.3,0.08,0.07
330141,N,1,43,0.1,0.04,2.41,287.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5808973124,NA,NA,NA,NA,NA
330151,N,3,19,0.02,0.01,2.12,204.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2958698926,NA,NA,NA,NA,NA
330153,N,2,150,0.34,0.12,2.86,263.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.337060791,NA,NA,NA,NA,NA
330154,N,NA,NA,NA,NA,NA,NA,954,44.6,9.91,4.5,32584,NA,NA,NA,4.7005021593,NA,NA,NA,NA,NA,NA
330157,N,3,40,0.09,0.02,3.92,369.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6147348593,NA,NA,NA,NA,NA
330158,N,1,390,1.21,0.42,2.87,325.41,55,2.14,0.67,3.19,31618,3.35,1.09,1.3,3.6279829722,3.396270279,3.07,3.05,0.86,0.3,0.23
330160,N,1,292,0.71,0.23,3.14,378,39,1.68,0.51,3.27,40199,2.4,0.74,1.74,3.5822935826,3.5830390272,3.23,2.15,0.6,0.25,0.14
330162,N,3,328,0.98,0.4,2.42,263.91,83,1.93,0.73,2.65,23211,2.9,1.13,1.9,2.7989155596,2.5049063083,2.57,2.55,0.95,0.35,0.19
330164,N,3,68,0.11,0.06,1.75,155.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.648118619,NA,NA,NA,NA,NA
330166,N,NA,135,0.08,0.06,1.5,131.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5412021111,NA,NA,NA,NA,NA
330167,N,3,140,0.54,0.15,3.64,423.96,35,1.2,0.42,2.84,31251,1.74,0.57,1.98,2.9046003041,4.2671072506,3.05,1.57,0.49,0.16,0.08
330169,N,2,395,0.81,0.47,1.71,193.39,48,2.1,0.92,2.27,28574,2.91,1.4,1.38,2.3797001256,1.8174775683,2.08,2.62,1.19,0.28,0.21
330175,N,3,24,0.03,0.01,2.69,305.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3349288347,NA,NA,NA,NA,NA
330180,N,1,94,0.13,0.05,2.47,222.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6548454926,NA,NA,NA,NA,NA
330181,N,2,34,0.07,0.02,3.41,423.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7859504118,NA,NA,NA,NA,NA
330182,N,4,61,0.29,0.13,2.22,233.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2888195972,NA,NA,NA,NA,NA
330184,N,2,73,0.18,0.07,2.77,277.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0568998013,NA,NA,NA,NA,NA
330185,N,3,45,0.09,0.03,3.34,418.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9539313297,NA,NA,NA,NA,NA
330188,N,3,18,0.01,0.01,1.38,148.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3508087548,NA,NA,NA,NA,NA
330191,N,3,246,0.39,0.13,3.02,297.25,16,0.25,0.11,2.39,16473,0.64,0.24,1.46,2.537895369,3.5748761031,2.74,0.57,0.19,0.07,0.05
330194,N,1,99,0.16,0.08,1.98,229.66,14,0.32,0.18,1.73,25873,0.47,0.26,1.67,1.7046163603,2.149770993,1.8,0.41,0.22,0.07,0.04
330195,N,2,142,0.43,0.15,2.89,339.64,53,1.51,0.58,2.6,34313,1.93,0.73,1.73,2.7605021788,3.1454561681,2.66,1.73,0.61,0.2,0.12
330196,N,1,12,0.01,0.01,2,202.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8448010743,NA,NA,NA,NA,NA
330197,N,3,115,0.24,0.07,3.65,344.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.167517936,NA,NA,NA,NA,NA
330198,N,2,58,0.16,0.09,1.92,225.28,19,0.79,0.31,2.54,25931,0.95,0.4,1.07,2.8936254491,2.286636704,2.41,0.86,0.31,0.09,0.09
330203,N,2,316,0.46,0.23,2.02,188.69,14,0.59,0.18,3.23,38611,1.05,0.41,1.55,4.0309316636,2.1782861127,2.56,0.88,0.3,0.17,0.11
330205,N,2,511,1.3,0.4,3.25,366.59,28,0.84,0.25,3.4,29528,2.14,0.65,1.56,3.7740975247,3.6986126923,3.31,1.95,0.52,0.2,0.13
330208,N,2,95,0.15,0.06,2.37,279.62,12,0.13,0.15,0.87,8759,0.28,0.22,1.62,0.8124277114,2.5174841695,1.32,0.23,0.18,0.05,0.03
330211,N,3,17,0.03,0.01,3.24,307.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.758946499,NA,NA,NA,NA,NA
330214,N,4,2263,17.44,4.67,3.73,405.97,380,25.9,9.04,2.86,44213,43.34,13.71,2.54,2.9077282692,3.9848111526,3.16,38.64,11.87,4.7,1.85
330215,N,3,76,0.08,0.03,2.52,253.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9089777484,NA,NA,NA,NA,NA
330218,N,3,71,0.08,0.03,2.5,267.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8763607286,NA,NA,NA,NA,NA
330219,N,2,38,0.09,0.03,2.55,248.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.863820393,NA,NA,NA,NA,NA
330221,N,1,64,0.06,0.04,1.66,179.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.751001442,NA,NA,NA,NA,NA
330222,N,4,160,0.26,0.1,2.61,237.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0700056145,NA,NA,NA,NA,NA
330223,N,2,12,0.01,0,2.75,293.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.528338009,NA,NA,NA,NA,NA
330224,N,NA,12,0.03,0.05,0.67,61.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5968734573,NA,NA,NA,NA,NA
330226,N,2,66,0.14,0.07,2.06,173.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2479400849,NA,NA,NA,NA,NA
330229,N,2,126,0.11,0.09,1.24,105.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2062429745,NA,NA,NA,NA,NA
330232,N,3,38,0.04,0.02,2.7,234.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9393424854,NA,NA,NA,NA,NA
330233,N,1,13,0.02,0.01,1.7,205.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9463830158,NA,NA,NA,NA,NA
330234,N,1,513,1.32,0.71,1.87,210.42,174,9.49,4.63,2.05,33238,10.82,5.33,1.99,2.042258046,1.9404801353,2.03,10.14,4.99,0.68,0.34
330235,N,1,45,0.05,0.02,2.64,274.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1482939382,NA,NA,NA,NA,NA
330236,N,3,158,0.34,0.14,2.48,283.41,38,0.99,0.43,2.29,29000,1.33,0.57,1.35,2.4018260522,2.82105563,2.34,1.23,0.49,0.11,0.08
330238,N,2,19,0.01,0,1.55,158.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7237712818,NA,NA,NA,NA,NA
330239,N,2,2079,1.93,1.19,1.62,146.86,81,1.29,0.56,2.3,16279,3.23,1.75,1.34,2.4848268302,1.6841807193,1.84,2.75,1.4,0.47,0.35
330241,N,2,219,0.41,0.18,2.25,230.56,34,0.73,0.31,2.33,21502,1.14,0.5,1.93,2.3740216969,2.3054458898,2.3,1.02,0.44,0.12,0.06
330245,N,1,52,0.1,0.03,2.95,257.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2906657247,NA,NA,NA,NA,NA
330246,N,3,25,0.07,0.03,1.93,211.94,17,0.31,0.15,1.98,17942,0.37,0.19,1.55,2.039520063,1.9520611174,1.97,0.34,0.17,0.03,0.02
330249,N,NA,34,0.02,0.01,2.06,189.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2253363273,NA,NA,NA,NA,NA
330250,N,3,56,0.2,0.05,3.57,343.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0328096574,NA,NA,NA,NA,NA
330259,N,1,26,0.08,0.03,2.72,309.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8512599206,NA,NA,NA,NA,NA
330261,N,4,204,0.62,0.19,3.29,372.45,26,0.67,0.26,2.53,28357,1.29,0.45,2.18,2.670387645,3.4834765742,2.85,1.1,0.37,0.19,0.09
330264,N,2,188,0.37,0.17,2.13,233,15,0.36,0.19,1.93,18516,0.73,0.36,1.21,2.1490700899,2.2641189084,2.03,0.65,0.3,0.08,0.06
330265,N,2,95,0.1,0.06,1.63,142.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7511583206,NA,NA,NA,NA,NA
330267,N,3,108,0.25,0.1,2.63,301.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9131353017,NA,NA,NA,NA,NA
330268,N,NA,17,0.02,0.01,2.36,246.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8134256107,NA,NA,NA,NA,NA
330270,N,5,11049,25.45,10.17,2.5,298.63,1010,58.87,21.57,2.73,27498,84.32,31.74,2.86,2.6154473965,2.6321892613,2.66,70.55,26.93,13.77,4.82
330273,N,2,227,0.63,0.31,2.06,226.17,38,0.78,0.3,2.56,20607,1.41,0.61,1.75,2.6480506741,2.1766596473,2.31,1.23,0.51,0.18,0.1
330276,N,4,25,0.08,0.02,4.1,415.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9308287672,NA,NA,NA,NA,NA
330277,N,4,19,0.05,0.01,3.52,364.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5557878454,NA,NA,NA,NA,NA
330279,N,1,60,0.1,0.07,1.42,134.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4905223908,NA,NA,NA,NA,NA
330285,N,2,465,1,0.44,2.29,215.94,49,1.26,0.68,1.85,19420,2.26,1.12,1.98,1.8210311304,2.402853786,2.02,1.97,0.97,0.29,0.15
330286,N,1,47,0.16,0.08,1.91,215.81,11,0.25,0.09,2.73,28279,0.4,0.17,1.42,3.0523888433,1.9928783126,2.34,0.36,0.14,0.05,0.03
330304,N,3,828,2.16,0.67,3.2,395.53,112,3.17,0.93,3.42,30965,5.33,1.6,1.4,3.7815976204,3.9108844223,3.33,4.87,1.27,0.46,0.33
330307,N,2,316,0.56,0.18,3.04,321.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5000641376,NA,NA,NA,NA,NA
330331,N,3,20,0.09,0.03,2.69,316.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8503110746,NA,NA,NA,NA,NA
330332,N,1,14,0.05,0.01,3.48,393.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5828344956,NA,NA,NA,NA,NA
330340,N,NA,108,0.21,0.07,3.11,376.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3847074077,NA,NA,NA,NA,NA
330350,N,1,21,0.03,0.02,1.64,190.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8169829009,NA,NA,NA,NA,NA
330386,N,2,69,0.1,0.03,3,405.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5772899747,NA,NA,NA,NA,NA
330393,N,3,131,0.36,0.1,3.48,446.28,23,2.62,1.52,1.72,18034,2.98,1.63,1.77,1.7181334612,4.0982199925,1.83,2.88,1.57,0.1,0.06
330394,N,1,104,0.22,0.07,3.36,320.89,16,0.28,0.14,1.93,15081,0.5,0.21,1.29,2.0376279634,4.1451655503,2.38,0.45,0.17,0.05,0.04
330395,N,1,11,0.02,0.01,2.25,265.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3011253386,NA,NA,NA,NA,NA
330399,N,1,22,0.01,0.01,1.05,107.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0084802335,NA,NA,NA,NA,NA
330401,N,2,41,0.13,0.05,2.52,279.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6843990068,NA,NA,NA,NA,NA
331302,Y,2,18,0.02,0.01,1.46,222.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4162396839,NA,NA,NA,NA,NA
